Displacement (m),Load (N/m)
0,0
0.03938353424559531,0.05802500000000001
0.08041739815008624,0.11605
0.1236028137184475,0.174075
0.1698297003874112,0.2321
0.2203798212629485,0.290125
0.2783553244101677,0.3481500000000001
0.352182106070579,0.4061750000000001
2.015064987147807,0.4642000000000001
2.048159241980616,0.5222250000000001
2.080912909502494,0.58025
2.113387550642704,0.638275
2.145612541795137,0.6963000000000001
2.177613194466735,0.7543250000000001
2.209411447143248,0.8123500000000001
2.241026426190118,0.8703750000000001
2.272474895084043,0.9284000000000001
2.303771617756228,0.9864250000000001
2.334929655087644,1.04445
2.365960608818954,1.102475
2.396874823692328,1.1605
2.427681556122288,1.218525
2.458389115825466,1.27655
2.489004985439392,1.334575
2.519535922099768,1.3926
2.549988044133918,1.450625
2.580366905401285,1.50865
2.610677559323542,1.566675
2.64092461426362,1.6247
2.671112281609819,1.682725
2.701244417679817,1.74075
2.731324560365902,1.798775
2.761355961286799,1.8568
2.7913416140849,1.914825
2.82128427940457,1.97285
2.851186507002629,2.030875
2.881050655372448,2.0889
2.91087890920547,2.146925
2.940673294966065,2.20495
2.970435694815632,2.262975
3.000167859088359,2.321
